,bot,bot_rank,user,user_rank,user_color,winner,outcome,ranked
24614987,katrain-14k,13.695911001628154,kakuna17,17.42760766747242,black,black,5.5 points,False
24599480,katrain-10k,10.07704571940728,dlpigozzi,10.576330095008132,white,white,37.5 points,True
24612901,katrain-weighted,1.534689401970013,CalmTilt,2.9188488904575216,black,white,4.5 points,True
24609549,katrain-10k,9.146779436165037,anil.zenginoglu,6.067059221690936,white,black,Resignation,True
24618100,katrain-weighted,1.025594568629522,hyunsan,6.992476868868639,black,white,6.5 points,False
24677145,katrain-tenuki,7.951960752053456,AlanAlan2056,9.315166337018002,black,white,38.5 points,True
24615644,katrain-10k,7.750762148826475,atgg33,12.250498824814397,black,white,24.5 points,False
24610486,katrain-2k,0.12761940283480655,alasoft,6.8128524248643565,black,white,Resignation,True
24668592,katrain-balanced,8.92049496728134,goodberry,13.005608976647274,black,white,26.5 points,True
24666813,katrain-2k,-0.4658517654549712,jayzheng,1.5962228522243045,black,black,51.5 points,True
24605279,katrain-weighted,2.7635741381915544,hyunsan,6.992476868868639,black,white,Resignation,False
24600136,katrain-10k,10.85883446688095,heavenlyalchemy,6.306739441391159,white,black,50.5 points,True
24611589,katrain-weighted,2.286284354362749,CalmTilt,2.927793704343312,black,black,129.5 points,True
